zone,lat,lon,distance_km
"via quadronno, Milano, Italia",45.4542254,9.1950578,1.177052947851473
"via carlo farini, Milano, Italia",45.4834967,9.1816744,2.241286534919678
"via palestro, Milano, Italia",45.4729064,9.1999749,1.2429016334505814
"piazza della repubblica, Milano, Italia",45.4802216,9.199118,1.9180983494822859
"via morgagni, Milano, Italia",45.4770647,9.2114755,2.2055726330746253
"piazza duca d'aosta, Milano, Italia",45.4848487,9.203386,2.5223443760382476
"via frua, Milano, Italia",45.4648335,9.150973,3.0530020567474545
"piazzale siena, Milano, Italia",45.4650768,9.1368993,4.1539881309963835
"corso lodi, Milano, Italia",45.4503295,9.2055377,1.963020818726897
"via lanza, Milano, Italia",45.1393668,8.4507857,68.29844638768323
"via bovisa, Milano, Italia",45.5031466,9.1612985,4.87561680945861
"via ripamonti, Milano, Italia",45.4018065,9.208963,7.091414714638382
"via pier paolo pasolini, Milano, Italia",45.5075451,9.1023196,8.378171439856565
"viale fulvio testi, Milano, Italia",45.5267031,9.2120379,7.157074680529206
"corso buenos aires, Milano, Italia",45.4752304,9.205828,1.7421035130241413
"via dergano, Milano, Italia",45.5108532,9.1709399,5.394944254080341
"corso plebisciti, Milano, Italia",45.4681056,9.2179035,2.2249428898740318
"via paolo sarpi, Milano, Italia",45.4810279,9.1713197,2.3731040921524538
"via brera, Milano, Italia",45.4710342,9.187609,0.7822358352602363
"viale monte nero, Milano, Italia",45.4557455,9.2044775,1.471429508535847
"via francesco sforza, Milano, Italia",45.4588369,9.1946498,0.6982407540404324
"via pasteur, Milano, Italia",45.5390625,9.4886426,24.779288780383656
"viale piave, Milano, Italia",45.4699545,9.2067174,1.4554139922550497
"via turro, Milano, Italia",45.4956177,9.2203652,4.222458093458443
"piazzale gambara, Milano, Italia",45.4651246,9.1428713,3.687223596737483
"via melchiorre gioia, Milano, Italia",45.4845057,9.1951407,2.292315674785354
"corso di porta romana, Milano, Italia",45.4555141,9.1968009,1.102205540142769
"via giambellino, Milano, Italia",45.4503321,9.1474025,3.67108047967831
"via della moscova, Milano, Italia",45.4772503,9.1870761,1.4683342800166934
"viale romagna, Milano, Italia",45.4720151,9.223782,2.7809478319624836
"via cermenate, Milano, Italia",45.4371103,9.1782868,3.147105982756991
"piazza gae aulenti, Milano, Italia",45.4834778,9.1902248,2.1426267987412295
"piazzale istria, Milano, Italia",45.5011634,9.1982362,4.158315825228089
"via rubattino, Milano, Italia",45.4786925,9.2578495,5.5447697409935515
"via barona, Milano, Italia",45.4331367,9.1494194,4.690093830109748
"via borsieri, Milano, Italia",45.4894951,9.1890659,2.8122737286077237
"piazza missori, Milano, Italia",45.4612682,9.1878382,0.3670957572299717
"via monterosa, Milano, Italia",45.40196,8.9072621,23.180569148411028
"via solari, Milano, Italia",45.4561168,9.1662591,2.0627577986196797
"piazza della scala, Milano, Italia",45.466898,9.1896608,0.3010291865792335
"via gallarate, Milano, Italia",45.4985297,9.1278763,6.176465812469604
"via filippo turati, Milano, Italia",45.4892877,9.0559878,10.84307406678261
"corso san gottardo, Milano, Italia",45.4480952,9.1796184,1.9654868346191945
"via torino, Milano, Italia",45.4619501,9.1860758,0.3958794936365953
"via luigi pirandello, Milano, Italia",45.431081,9.0663025,10.353327338911415
"corso sempione, Milano, Italia",45.4866268,9.1580434,3.5293786166653733
"via quarto cagnino, Milano, Italia",45.4726079,9.1168027,5.7999313044213725
"via giuseppe giacosa, Milano, Italia",45.4949723,9.2214339,4.211550932156427
"via pezzotti, Milano, Italia",45.4436281,9.1827819,2.355057326335441
"piazzale cadorna, Milano, Italia",45.4682764,9.176528,1.1468556554273943
"via adriano, Milano, Italia",45.5144708,9.2450733,7.053470463144737
"piazzale udine, Milano, Italia",45.4908246,9.2367932,4.70557551360481
"corso garibaldi, Milano, Italia",45.4725436,9.1838311,1.0452952766132195
"via cenisio, Milano, Italia",45.487676,9.1677219,3.1372055935848366
"via bisceglie, Milano, Italia",45.445553,9.1216743,5.732220078898462
"piazzale corvetto, Milano, Italia",45.4397903,9.2246339,3.834023483394042
"via tripoli, Milano, Italia",45.5308294,9.3305264,13.246928641234062
"via vincenzo monti, Milano, Italia",45.5091128,9.0968143,8.83102375618842
"viale martini, Milano, Italia",45.4386618,9.2241347,3.8969298352357375
"viale argonne, Milano, Italia",45.4681039,9.2301492,3.16969971242565
"piazza belloveso, Milano, Italia",45.5154288,9.1942178,5.703176747872439
"via molise, Milano, Italia",45.5827132,8.8943662,26.588461764366397
"via arena, Milano, Italia",45.4568293,9.1799014,1.1379408958362875
"viale zara, Milano, Italia",45.4986118,9.1959108,3.852386944223856
"via trenno, Milano, Italia",45.4880467,9.1255151,5.696276433674353
"piazza del duomo, Milano, Italia",45.4639102,9.1906426,0.059691646493725416
"alzaia naviglio grande, Milano, Italia",45.4520419,9.1756524,1.7564916400301303
"piazza de angeli, Milano, Italia",45.466292,9.1496663,3.1629001124500653
"via precotto, Milano, Italia",45.5182639,9.2210466,6.480342952226241
"piazza napoli, Milano, Italia",45.4526426,9.1547842,3.039208032749884
"corso indipendenza, Milano, Italia",45.468222,9.2122896,1.7995559126164273
"piazzale dello sport, Milano, Italia",45.478932,9.1301137,4.960936413819804
"via rovereto, Milano, Italia",45.4947684,9.2205211,4.151743592122872
"via vigentino, Milano, Italia",45.4316956,9.1962837,3.645848061724999
"corso genova, Milano, Italia",45.4568538,9.1749831,1.430415484388214
"arco della pace, Milano, Italia",45.4756896,9.172424,1.8760907704283212
"via san vittore, Milano, Italia",45.4629575,9.1704654,1.5339988326269307
"via bocconi, Milano, Italia",45.4509722,9.1907021,1.4711725237173123
"corso vercelli, Milano, Italia",45.4667872,9.15659,2.6286298677778297
"via cadore, Milano, Italia",45.4620728,9.2146626,1.9432734862433774
"via bande nere, Milano, Italia",45.4554956,9.1341176,4.476545767459774
"cascina dei pomi, Milano, Italia",45.4969041,9.2085756,3.9141840329226962
"via dezza, Milano, Italia",45.461626,9.1597068,2.3864207561957067
"viale monza, Milano, Italia",45.5124819,9.2243327,5.999888777817612
"corso di porta ticinese, Milano, Italia",45.4581567,9.1809955,0.9731918173616904
"piazzale portello, Milano, Italia",45.4905586,9.1455711,4.544211874072847
"via della chiesa rossa, Milano, Italia",45.4262299,9.169551,4.513080768403916
"piazza santa maria nascente, Milano, Italia",45.4858479,9.1375553,4.754487961946443
"via amendola, Milano, Italia",45.4302432,9.0617172,10.721851808245898
"viale certosa, Milano, Italia",45.4952128,9.1402218,5.1988276708860015
"viale bicocca, Milano, Italia",45.5150096,9.2066444,5.795005704565585
"via mario pagano, Milano, Italia",45.4736525,9.1693092,1.9291801897768142
"via inganni, Milano, Italia",45.4528954,9.1248699,5.24682543109717
"via padova, Milano, Italia",45.4899307,9.2217005,3.784420075347928
"viale ungheria, Milano, Italia",45.4456627,9.242836,4.617909922303229
"via cassinari, Milano, Italia",45.4369383,9.2422305,5.086647527470269
"piazza sant'ambrogio, Milano, Italia",45.4629579,9.1748354,1.1940069107540234
"via gorla, Milano, Italia",45.5063122,9.2233526,5.357703979477639
"alzaia naviglio pavese, Milano, Italia",45.4392695,9.1748704,3.012968331881831
"via famagosta, Milano, Italia",45.437126,9.1590997,3.8596806940155406
"via forlanini, Milano, Italia",45.4617325,9.2743869,6.605534068026867
